,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ETC,2022-12-05T00:00:00,2022-12-05T09:00:00,26110.0,26920.0,25770.0,26110.0,1670284795314,22158316178.01774,839308.39122409,26120.0,-10.0,-0.0003828484
1,KRW-ETC,2022-12-06T00:00:00,2022-12-06T09:00:00,26100.0,26160.0,25850.0,26130.0,1670371197155,9103880008.88273,349988.6142247,26110.0,20.0,0.00076599
2,KRW-ETC,2022-12-07T00:00:00,2022-12-07T09:00:00,26130.0,26230.0,24890.0,25070.0,1670457590434,14297991882.150043,562098.05009977,26130.0,-1060.0,-0.0405663988
3,KRW-ETC,2022-12-08T00:00:00,2022-12-08T09:00:00,25080.0,25650.0,24920.0,25510.0,1670543992066,11621420777.847965,460546.27194724,25070.0,440.0,0.0175508576
4,KRW-ETC,2022-12-09T00:00:00,2022-12-09T09:00:00,25520.0,25910.0,25350.0,25570.0,1670630394208,10251495911.890362,400966.61252445,25510.0,60.0,0.0023520188
5,KRW-ETC,2022-12-10T00:00:00,2022-12-10T09:00:00,25550.0,25740.0,25380.0,25560.0,1670716785450,7665037174.16327,299531.32831781,25570.0,-10.0,-0.0003910833
6,KRW-ETC,2022-12-11T00:00:00,2022-12-11T09:00:00,25520.0,25750.0,25020.0,25190.0,1670803198078,7521683854.911442,295014.78211666,25560.0,-370.0,-0.0144757433
7,KRW-ETC,2022-12-12T00:00:00,2022-12-12T09:00:00,25160.0,25230.0,24050.0,24650.0,1670889598407,14845947236.587105,606452.9524073,25190.0,-540.0,-0.0214370782
8,KRW-ETC,2022-12-13T00:00:00,2022-12-13T09:00:00,24650.0,26180.0,23610.0,25100.0,1670975994340,42561326208.67062,1690388.38696182,24650.0,450.0,0.0182555781
9,KRW-ETC,2022-12-14T00:00:00,2022-12-14T09:00:00,25130.0,25430.0,24500.0,24520.0,1671062399766,19474552189.270584,776643.78761476,25100.0,-580.0,-0.0231075697
10,KRW-ETC,2022-12-15T00:00:00,2022-12-15T09:00:00,24530.0,24720.0,23870.0,24050.0,1671148799559,12005339814.115181,495463.43502289,24520.0,-470.0,-0.0191680261
11,KRW-ETC,2022-12-16T00:00:00,2022-12-16T09:00:00,24030.0,24170.0,21000.0,21500.0,1671235199033,24186361495.867096,1070781.51346645,24050.0,-2550.0,-0.106029106
12,KRW-ETC,2022-12-17T00:00:00,2022-12-17T09:00:00,21500.0,21850.0,20860.0,21520.0,1671321596260,20335052779.7431,951643.48061669,21500.0,20.0,0.0009302326
13,KRW-ETC,2022-12-18T00:00:00,2022-12-18T09:00:00,21520.0,21540.0,20920.0,21170.0,1671407992729,9123144269.943783,429399.2655505,21520.0,-350.0,-0.0162639405
14,KRW-ETC,2022-12-19T00:00:00,2022-12-19T09:00:00,21190.0,21330.0,19390.0,20050.0,1671494393865,17155924507.940035,837294.9940759,21170.0,-1120.0,-0.0529050543
15,KRW-ETC,2022-12-20T00:00:00,2022-12-20T09:00:00,20050.0,21020.0,19850.0,20770.0,1671580792350,14131749594.43691,688051.15774087,20050.0,720.0,0.0359102244
16,KRW-ETC,2022-12-21T00:00:00,2022-12-21T09:00:00,20770.0,22200.0,20250.0,21760.0,1671667197542,39949787301.72923,1858259.10264101,20770.0,990.0,0.0476649013
17,KRW-ETC,2022-12-22T00:00:00,2022-12-22T09:00:00,21750.0,21940.0,20740.0,21440.0,1671753599698,21860726656.488514,1026326.28309696,21760.0,-320.0,-0.0147058824
18,KRW-ETC,2022-12-23T00:00:00,2022-12-23T09:00:00,21440.0,21530.0,21180.0,21360.0,1671839997483,11303503619.952282,529549.34037256,21440.0,-80.0,-0.0037313433
19,KRW-ETC,2022-12-24T00:00:00,2022-12-24T09:00:00,21370.0,21500.0,21290.0,21460.0,1671926296406,5144534003.266993,240512.13184879,21360.0,100.0,0.0046816479
20,KRW-ETC,2022-12-25T00:00:00,2022-12-25T09:00:00,21460.0,21490.0,20640.0,20990.0,1672012788798,7460945604.273708,354338.64455433,21460.0,-470.0,-0.0219012116
21,KRW-ETC,2022-12-26T00:00:00,2022-12-26T09:00:00,20990.0,21050.0,20540.0,20830.0,1672099195311,7142558286.19537,344107.67451006,20990.0,-160.0,-0.0076226775
22,KRW-ETC,2022-12-27T00:00:00,2022-12-27T09:00:00,20830.0,20920.0,19950.0,20250.0,1672185592088,7993175411.879487,391525.88900085,20830.0,-580.0,-0.0278444551
23,KRW-ETC,2022-12-28T00:00:00,2022-12-28T09:00:00,20240.0,20310.0,19060.0,19270.0,1672271988741,15948565817.76527,812808.61108842,20250.0,-980.0,-0.0483950617
24,KRW-ETC,2022-12-29T00:00:00,2022-12-29T09:00:00,19270.0,20550.0,18830.0,20010.0,1672358397090,34216961443.732124,1729404.43832628,19270.0,740.0,0.0384016606
25,KRW-ETC,2022-12-30T00:00:00,2022-12-30T09:00:00,19980.0,20270.0,19360.0,19730.0,1672444799317,16203859920.186357,819401.44336024,20010.0,-280.0,-0.0139930035
26,KRW-ETC,2022-12-31T00:00:00,2022-12-31T09:00:00,19740.0,20280.0,19620.0,19960.0,1672531167529,8388383379.55216,420585.88413774,19730.0,230.0,0.0116573746
27,KRW-ETC,2023-01-01T00:00:00,2023-01-01T09:00:00,19970.0,20150.0,19880.0,20080.0,1672617597025,4480777818.961844,224203.57305741,19960.0,120.0,0.006012024
28,KRW-ETC,2023-01-02T00:00:00,2023-01-02T09:00:00,20080.0,20690.0,19660.0,20490.0,1672703992829,12893076076.128275,634713.33087702,20080.0,410.0,0.0204183267
29,KRW-ETC,2023-01-03T00:00:00,2023-01-03T09:00:00,20490.0,20640.0,20130.0,20400.0,1672790395429,14551698084.443838,711760.22967658,20490.0,-90.0,-0.0043923865
30,KRW-ETC,2023-01-04T00:00:00,2023-01-04T09:00:00,20410.0,25220.0,20320.0,24650.0,1672876799968,188841190305.08047,8180672.06619214,20400.0,4250.0,0.2083333333
31,KRW-ETC,2023-01-05T00:00:00,2023-01-05T09:00:00,24660.0,24990.0,23150.0,23390.0,1672963197377,140426915618.16052,5809601.07849965,24650.0,-1260.0,-0.0511156187
32,KRW-ETC,2023-01-06T00:00:00,2023-01-06T09:00:00,23390.0,26330.0,22690.0,25960.0,1673049599617,132828888415.97737,5486075.00489422,23390.0,2570.0,0.1098760154
33,KRW-ETC,2023-01-07T00:00:00,2023-01-07T09:00:00,25980.0,26420.0,25190.0,25450.0,1673135996814,99230819512.82526,3852534.21164223,25960.0,-510.0,-0.0196456086
34,KRW-ETC,2023-01-08T00:00:00,2023-01-08T09:00:00,25450.0,26000.0,24840.0,25830.0,1673222399562,82409078801.60928,3243593.19899629,25450.0,380.0,0.0149312377
35,KRW-ETC,2023-01-09T00:00:00,2023-01-09T09:00:00,25830.0,27540.0,25170.0,25370.0,1673308799741,142032262278.06976,5367059.48091708,25830.0,-460.0,-0.0178087495
36,KRW-ETC,2023-01-10T00:00:00,2023-01-10T09:00:00,25370.0,25650.0,24770.0,25470.0,1673395189083,51806894681.15796,2044687.43305304,25370.0,100.0,0.0039416634
37,KRW-ETC,2023-01-11T00:00:00,2023-01-11T09:00:00,25460.0,25790.0,24540.0,25680.0,1673481596843,45614324594.60908,1818546.75161007,25470.0,210.0,0.0082449941
38,KRW-ETC,2023-01-12T00:00:00,2023-01-12T09:00:00,25690.0,26700.0,24880.0,26130.0,1673567999967,82333458734.34854,3186902.75561257,25680.0,450.0,0.0175233645
39,KRW-ETC,2023-01-13T00:00:00,2023-01-13T09:00:00,26110.0,27500.0,25880.0,26950.0,1673654399398,108938121027.2244,4087236.7112017,26130.0,820.0,0.0313815538
