,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ETH,2020-12-05T00:00:00,2020-12-05T09:00:00,625500.0,653000.0,616900.0,648700.0,1607212792289,26616350760.457348,41746.90455312,625500.0,23200.0,0.0370903277
1,KRW-ETH,2020-12-06T00:00:00,2020-12-06T09:00:00,648200.0,659200.0,635600.0,652000.0,1607299195163,25455211799.99396,39242.95086571,648700.0,3300.0,0.0050870973
2,KRW-ETH,2020-12-07T00:00:00,2020-12-07T09:00:00,652000.0,653200.0,639000.0,642800.0,1607385596671,18016590129.49957,27884.39628505,652000.0,-9200.0,-0.0141104294
3,KRW-ETH,2020-12-08T00:00:00,2020-12-08T09:00:00,642800.0,645700.0,601800.0,606000.0,1607471996858,29728986228.642883,47498.76422494,642800.0,-36800.0,-0.0572495333
4,KRW-ETH,2020-12-09T00:00:00,2020-12-09T09:00:00,605900.0,630700.0,576600.0,626800.0,1607558367695,50611731755.38297,83532.84700212,606000.0,20800.0,0.0343234323
5,KRW-ETH,2020-12-10T00:00:00,2020-12-10T09:00:00,626800.0,629100.0,601300.0,610300.0,1607644793772,24801271737.31711,40419.96066494,626800.0,-16500.0,-0.0263241863
6,KRW-ETH,2020-12-11T00:00:00,2020-12-11T09:00:00,610400.0,612800.0,591000.0,593800.0,1607731196110,29308813008.858223,48871.62030847,610300.0,-16500.0,-0.027035884
7,KRW-ETH,2020-12-12T00:00:00,2020-12-12T09:00:00,594100.0,625200.0,593000.0,622100.0,1607817599436,29031863596.16449,47615.83144925,593800.0,28300.0,0.0476591445
8,KRW-ETH,2020-12-13T00:00:00,2020-12-13T09:00:00,622100.0,645300.0,616100.0,640500.0,1607903999148,31328593220.859272,49547.91340184,622100.0,18400.0,0.0295772384
9,KRW-ETH,2020-12-14T00:00:00,2020-12-14T09:00:00,640500.0,643000.0,627100.0,636400.0,1607990399386,24763306040.442932,38939.3234637,640500.0,-4100.0,-0.006401249
10,KRW-ETH,2020-12-15T00:00:00,2020-12-15T09:00:00,636500.0,648700.0,632500.0,639700.0,1608076762909,24673176443.221897,38546.95162294,636400.0,3300.0,0.005185418
11,KRW-ETH,2020-12-16T00:00:00,2020-12-16T09:00:00,639700.0,686000.0,631100.0,683500.0,1608163196349,59954320112.83744,90819.75603404,639700.0,43800.0,0.0684695951
12,KRW-ETH,2020-12-17T00:00:00,2020-12-17T09:00:00,683500.0,730100.0,675100.0,697300.0,1608249599444,143188836437.2849,203449.34093957,683500.0,13800.0,0.0201901975
13,KRW-ETH,2020-12-18T00:00:00,2020-12-18T09:00:00,697300.0,719800.0,683000.0,711900.0,1608335999966,54589303168.47404,77675.90111238,697300.0,14600.0,0.0209379033
14,KRW-ETH,2020-12-19T00:00:00,2020-12-19T09:00:00,711900.0,732500.0,705500.0,723200.0,1608422399514,50933786043.35334,70930.71591271,711900.0,11300.0,0.0158730159
15,KRW-ETH,2020-12-20T00:00:00,2020-12-20T09:00:00,723200.0,725800.0,690700.0,704000.0,1608508800184,48732859678.238556,68364.63418517,723200.0,-19200.0,-0.0265486726
16,KRW-ETH,2020-12-21T00:00:00,2020-12-21T09:00:00,704000.0,714400.0,666200.0,678800.0,1608595194068,68120040414.30545,99029.89909029,704000.0,-25200.0,-0.0357954545
17,KRW-ETH,2020-12-22T00:00:00,2020-12-22T09:00:00,678200.0,716700.0,654000.0,715900.0,1608681599891,63263984605.831406,92140.85178821,678800.0,37100.0,0.054655274
18,KRW-ETH,2020-12-23T00:00:00,2020-12-23T09:00:00,715900.0,719000.0,632100.0,665400.0,1608767998950,99810929649.6762,145744.52360602,715900.0,-50500.0,-0.0705405783
19,KRW-ETH,2020-12-24T00:00:00,2020-12-24T09:00:00,665400.0,688700.0,643500.0,683100.0,1608854399820,75274575142.13707,113481.39705113,665400.0,17700.0,0.026600541
20,KRW-ETH,2020-12-25T00:00:00,2020-12-25T09:00:00,683100.0,705000.0,668900.0,687700.0,1608940794487,66291596397.12825,96583.28300669,683100.0,4600.0,0.0067340067
21,KRW-ETH,2020-12-26T00:00:00,2020-12-26T09:00:00,688000.0,716800.0,680000.0,706300.0,1609027199006,74889127187.35063,107211.28682842,687700.0,18600.0,0.0270466773
22,KRW-ETH,2020-12-27T00:00:00,2020-12-27T09:00:00,706300.0,799200.0,693000.0,766100.0,1609113597696,269699688093.82538,361844.12006015,706300.0,59800.0,0.0846665723
23,KRW-ETH,2020-12-28T00:00:00,2020-12-28T09:00:00,765500.0,830000.0,761100.0,817300.0,1609199999535,191023958578.5269,237199.82866246,766100.0,51200.0,0.0668320063
24,KRW-ETH,2020-12-29T00:00:00,2020-12-29T09:00:00,817300.0,833000.0,773800.0,813700.0,1609286397752,150743107527.60126,187197.47729866,817300.0,-3600.0,-0.0044047473
25,KRW-ETH,2020-12-30T00:00:00,2020-12-30T09:00:00,813700.0,833700.0,796400.0,830000.0,1609372798951,118476460870.71957,144791.00756942,813700.0,16300.0,0.0200319528
26,KRW-ETH,2020-12-31T00:00:00,2020-12-31T09:00:00,829900.0,834900.0,809100.0,815100.0,1609459192788,85666629229.4128,104374.98141161,830000.0,-14900.0,-0.0179518072
27,KRW-ETH,2021-01-01T00:00:00,2021-01-01T09:00:00,815100.0,826600.0,793600.0,803000.0,1609545598460,77049687836.8208,94740.03431837,815100.0,-12100.0,-0.0148448043
28,KRW-ETH,2021-01-02T00:00:00,2021-01-02T09:00:00,802900.0,865400.0,789000.0,858700.0,1609631999076,193144536024.28595,231347.63931929,803000.0,55700.0,0.0693648817
29,KRW-ETH,2021-01-03T00:00:00,2021-01-03T09:00:00,858700.0,1144000.0,855000.0,1113500.0,1609718399966,747405366213.5251,747843.06817099,858700.0,254800.0,0.2967276115
30,KRW-ETH,2021-01-04T00:00:00,2021-01-04T09:00:00,1114000.0,1335500.0,1035000.0,1189000.0,1609804801755,1662490285585.8179,1434143.67327224,1113500.0,75500.0,0.0678042209
31,KRW-ETH,2021-01-05T00:00:00,2021-01-05T09:00:00,1190000.0,1293500.0,1120500.0,1236000.0,1609891200184,882789397450.1344,735859.94033041,1190000.0,46000.0,0.0386554622
32,KRW-ETH,2021-01-06T00:00:00,2021-01-06T09:00:00,1236000.0,1349000.0,1194000.0,1337500.0,1609977600885,650793622269.4036,514099.19903339,1236000.0,101500.0,0.0821197411
33,KRW-ETH,2021-01-07T00:00:00,2021-01-07T09:00:00,1338000.0,1427500.0,1285500.0,1388000.0,1610063999140,575134599475.4512,422658.84725502,1337000.0,51000.0,0.038145101
34,KRW-ETH,2021-01-08T00:00:00,2021-01-08T09:00:00,1388000.0,1485000.0,1233500.0,1414000.0,1610150399463,678211637425.0896,492239.89499433,1388000.0,26000.0,0.0187319885
35,KRW-ETH,2021-01-09T00:00:00,2021-01-09T09:00:00,1414000.0,1478500.0,1364000.0,1451500.0,1610236799346,393463614860.5064,278721.72773886,1414000.0,37500.0,0.0265205092
36,KRW-ETH,2021-01-10T00:00:00,2021-01-10T09:00:00,1451500.0,1535000.0,1300000.0,1428500.0,1610323199900,687078074854.3871,469172.71858943,1451500.0,-23000.0,-0.0158456769
37,KRW-ETH,2021-01-11T00:00:00,2021-01-11T09:00:00,1428500.0,1441000.0,1051500.0,1227000.0,1610409600215,1351779996760.8635,1121057.14549336,1428500.0,-201500.0,-0.1410570529
38,KRW-ETH,2021-01-12T00:00:00,2021-01-12T09:00:00,1227000.0,1293000.0,1133500.0,1190000.0,1610495999900,655694202640.9973,539529.31751713,1227000.0,-37000.0,-0.0301548492
39,KRW-ETH,2021-01-13T00:00:00,2021-01-13T09:00:00,1190000.0,1265000.0,1135500.0,1252000.0,1610582399988,356283889376.60114,298346.71150879,1190000.0,62000.0,0.0521008403
40,KRW-ETH,2021-01-14T00:00:00,2021-01-14T09:00:00,1251500.0,1365000.0,1208000.0,1345500.0,1610668799840,471989008929.2181,367122.28788905,1252000.0,93500.0,0.0746805112
41,KRW-ETH,2021-01-15T00:00:00,2021-01-15T09:00:00,1346000.0,1365500.0,1210500.0,1304000.0,1610755200180,512595128854.8907,391913.77517287,1345500.0,-41500.0,-0.0308435526
42,KRW-ETH,2021-01-16T00:00:00,2021-01-16T09:00:00,1304000.0,1417000.0,1284000.0,1366000.0,1610841600095,402277514501.3666,298395.72726963,1304000.0,62000.0,0.0475460123
43,KRW-ETH,2021-01-17T00:00:00,2021-01-17T09:00:00,1366000.0,1398500.0,1300500.0,1361000.0,1610928000132,316991618781.46826,233983.74923161,1366000.0,-5000.0,-0.0036603221
44,KRW-ETH,2021-01-18T00:00:00,2021-01-18T09:00:00,1361000.0,1377000.0,1321500.0,1372500.0,1611014399499,234131716987.6773,173009.00234114,1361000.0,11500.0,0.0084496694
45,KRW-ETH,2021-01-19T00:00:00,2021-01-19T09:00:00,1372500.0,1580000.0,1366000.0,1509000.0,1611100799532,670246121623.7659,449291.82703318,1372500.0,136500.0,0.0994535519
