,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-SOL,2022-12-05T00:00:00,2022-12-05T09:00:00,18340.0,19000.0,18260.0,18500.0,1670284798199,41458119000.15439,2224822.66275598,18330.0,170.0,0.0092744135
1,KRW-SOL,2022-12-06T00:00:00,2022-12-06T09:00:00,18490.0,19350.0,18440.0,19100.0,1670371199301,33644679525.814896,1778818.66541634,18500.0,600.0,0.0324324324
2,KRW-SOL,2022-12-07T00:00:00,2022-12-07T09:00:00,19100.0,19170.0,18050.0,18100.0,1670457590612,24098567296.05077,1307898.21652301,19100.0,-1000.0,-0.0523560209
3,KRW-SOL,2022-12-08T00:00:00,2022-12-08T09:00:00,18100.0,18340.0,17800.0,18200.0,1670543998981,17099134478.979336,947499.95260727,18100.0,100.0,0.0055248619
4,KRW-SOL,2022-12-09T00:00:00,2022-12-09T09:00:00,18200.0,18600.0,18070.0,18110.0,1670630399982,16301579907.675085,890441.96095058,18200.0,-90.0,-0.0049450549
5,KRW-SOL,2022-12-10T00:00:00,2022-12-10T09:00:00,18130.0,18320.0,18050.0,18100.0,1670716796163,7796081818.202605,429488.41037289,18110.0,-10.0,-0.0005521811
6,KRW-SOL,2022-12-11T00:00:00,2022-12-11T09:00:00,18090.0,18280.0,17860.0,17910.0,1670803197276,8564987263.417777,473403.2817818,18100.0,-190.0,-0.0104972376
7,KRW-SOL,2022-12-12T00:00:00,2022-12-12T09:00:00,17900.0,18030.0,17100.0,17690.0,1670889571789,14171115437.888174,809578.26415766,17910.0,-220.0,-0.0122836404
8,KRW-SOL,2022-12-13T00:00:00,2022-12-13T09:00:00,17680.0,18740.0,16850.0,18090.0,1670975998656,32891697206.45141,1835529.74883017,17690.0,400.0,0.022611645
9,KRW-SOL,2022-12-14T00:00:00,2022-12-14T09:00:00,18090.0,19500.0,18000.0,18420.0,1671062399482,41475069593.83332,2210695.71879775,18090.0,330.0,0.0182421227
10,KRW-SOL,2022-12-15T00:00:00,2022-12-15T09:00:00,18420.0,19050.0,18200.0,18570.0,1671148799913,29999052033.20136,1615685.27100676,18420.0,150.0,0.0081433225
11,KRW-SOL,2022-12-16T00:00:00,2022-12-16T09:00:00,18570.0,18650.0,16060.0,16380.0,1671235199535,37726180711.98154,2170245.99147978,18570.0,-2190.0,-0.1179321486
12,KRW-SOL,2022-12-17T00:00:00,2022-12-17T09:00:00,16400.0,16610.0,15800.0,16590.0,1671321592273,19539248445.21166,1201605.73633974,16380.0,210.0,0.0128205128
13,KRW-SOL,2022-12-18T00:00:00,2022-12-18T09:00:00,16580.0,16700.0,16280.0,16440.0,1671407996617,8066970841.028805,489626.9847907,16590.0,-150.0,-0.0090415913
