,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-STMX,2022-12-05T00:00:00,2022-12-05T09:00:00,7.14,7.16,6.92,6.98,1670284776826,2324183985.62767,330265923.97682714,7.14,-0.16,-0.0224089636
1,KRW-STMX,2022-12-06T00:00:00,2022-12-06T09:00:00,7.0,7.0,6.85,6.92,1670371160441,1228343915.27776,177429262.2297622,6.98,-0.06,-0.0085959885
2,KRW-STMX,2022-12-07T00:00:00,2022-12-07T09:00:00,6.9,6.95,6.6,6.71,1670457571950,3684444980.110842,542481114.1017216,6.92,-0.21,-0.0303468208
3,KRW-STMX,2022-12-08T00:00:00,2022-12-08T09:00:00,6.71,6.82,6.61,6.74,1670543993202,4004341637.8288383,597332360.0106041,6.71,0.03,0.0044709389
4,KRW-STMX,2022-12-09T00:00:00,2022-12-09T09:00:00,6.74,6.97,6.67,6.88,1670630398468,4571928399.352234,670585161.6760479,6.74,0.14,0.0207715134
5,KRW-STMX,2022-12-10T00:00:00,2022-12-10T09:00:00,6.89,6.97,6.78,6.96,1670716635576,2439731589.139494,355300264.9327792,6.88,0.08,0.011627907
6,KRW-STMX,2022-12-11T00:00:00,2022-12-11T09:00:00,6.96,6.96,6.72,6.75,1670803176913,1804219369.3617454,263637796.5869353,6.96,-0.21,-0.0301724138
7,KRW-STMX,2022-12-12T00:00:00,2022-12-12T09:00:00,6.72,6.73,6.43,6.58,1670889594210,1983882532.4279788,302560175.6636107,6.75,-0.17,-0.0251851852
8,KRW-STMX,2022-12-13T00:00:00,2022-12-13T09:00:00,6.57,6.95,6.29,6.69,1670975998282,7679086621.097527,1150951555.0666978,6.58,0.11,0.0167173252
9,KRW-STMX,2022-12-14T00:00:00,2022-12-14T09:00:00,6.69,6.99,6.56,6.58,1671062369971,6470707124.233762,953574332.3103479,6.69,-0.11,-0.0164424514
