,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-XEM,2022-12-05T00:00:00,2022-12-05T09:00:00,44.1,44.4,43.4,43.6,1670284777802,961593026.2518196,21875695.32467375,44.0,-0.4,-0.0090909091
1,KRW-XEM,2022-12-06T00:00:00,2022-12-06T09:00:00,43.6,44.2,43.3,43.6,1670371025643,567631446.5199708,12966985.62594504,43.6,,0.0
2,KRW-XEM,2022-12-07T00:00:00,2022-12-07T09:00:00,43.7,45.3,42.3,43.0,1670457565490,6223580956.032617,141798335.96256518,43.6,-0.6,-0.0137614679
3,KRW-XEM,2022-12-08T00:00:00,2022-12-08T09:00:00,43.0,43.7,42.6,43.4,1670543982428,1017563089.353588,23665314.84887694,43.0,0.4,0.0093023256
4,KRW-XEM,2022-12-09T00:00:00,2022-12-09T09:00:00,43.5,46.3,43.4,44.3,1670630386014,8035442425.529325,180943187.82807636,43.4,0.9,0.0207373272
5,KRW-XEM,2022-12-10T00:00:00,2022-12-10T09:00:00,44.3,44.5,43.5,44.3,1670716786876,1901309400.0951717,43159186.23609288,44.3,,0.0
6,KRW-XEM,2022-12-11T00:00:00,2022-12-11T09:00:00,44.3,45.4,43.0,43.1,1670803150348,1679453302.2744741,37957275.46053419,44.3,-1.2,-0.0270880361
7,KRW-XEM,2022-12-12T00:00:00,2022-12-12T09:00:00,43.1,46.7,42.7,44.8,1670889596909,12638569378.790552,283953668.45662165,43.1,1.7,0.0394431555
8,KRW-XEM,2022-12-13T00:00:00,2022-12-13T09:00:00,44.9,45.0,42.5,44.4,1670975994668,3423916543.8398285,78262377.77545875,44.8,-0.4,-0.0089285714
9,KRW-XEM,2022-12-14T00:00:00,2022-12-14T09:00:00,44.4,44.4,43.2,43.5,1671062356664,1241869716.2444358,28315185.94475005,44.4,-0.9,-0.0202702703
10,KRW-XEM,2022-12-15T00:00:00,2022-12-15T09:00:00,43.5,45.4,43.5,43.8,1671148774997,7710204229.741198,173357875.81153485,43.5,0.3,0.0068965517
11,KRW-XEM,2022-12-16T00:00:00,2022-12-16T09:00:00,43.8,44.0,39.4,40.1,1671235161943,2158336377.140394,51190893.72350506,43.8,-3.7,-0.0844748858
