,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-XRP,2023-06-15T00:00:00,2023-06-15T09:00:00,630.0,638.0,612.0,627.0,1686873599460,166320447554.91345,266082967.36832514,631.0,-4.0,-0.0063391442
1,KRW-XRP,2023-06-16T00:00:00,2023-06-16T09:00:00,627.0,630.0,602.0,624.0,1686959997094,161039149596.6809,261651532.94326836,627.0,-3.0,-0.004784689
2,KRW-XRP,2023-06-17T00:00:00,2023-06-17T09:00:00,624.0,637.0,615.0,629.0,1687046399585,92854230675.66812,148045166.923679,624.0,5.0,0.0080128205
3,KRW-XRP,2023-06-18T00:00:00,2023-06-18T09:00:00,629.0,651.0,625.0,638.0,1687132798852,105440977914.06183,165246103.3360127,629.0,9.0,0.0143084261
4,KRW-XRP,2023-06-19T00:00:00,2023-06-19T09:00:00,637.0,650.0,632.0,644.0,1687219196159,87677670005.06427,136490685.59460607,638.0,6.0,0.0094043887
5,KRW-XRP,2023-06-20T00:00:00,2023-06-20T09:00:00,644.0,650.0,622.0,644.0,1687305597353,139302332715.74304,218560116.77861416,644.0,,0.0
6,KRW-XRP,2023-06-21T00:00:00,2023-06-21T09:00:00,644.0,658.0,640.0,654.0,1687391997414,174692764168.66614,268650336.23721206,644.0,10.0,0.0155279503
7,KRW-XRP,2023-06-22T00:00:00,2023-06-22T09:00:00,653.0,691.0,641.0,647.0,1687478397333,300616872847.19037,452855281.01073873,654.0,-7.0,-0.0107033639
8,KRW-XRP,2023-06-23T00:00:00,2023-06-23T09:00:00,647.0,663.0,643.0,656.0,1687564799761,178969176928.81506,273879608.04961073,647.0,9.0,0.0139103555
9,KRW-XRP,2023-06-24T00:00:00,2023-06-24T09:00:00,657.0,659.0,642.0,649.0,1687651198923,131605274790.85359,201999328.86117306,656.0,-7.0,-0.0106707317
10,KRW-XRP,2023-06-25T00:00:00,2023-06-25T09:00:00,648.0,660.0,644.0,649.0,1687737599991,120493921712.21294,184947577.94671357,649.0,,0.0
11,KRW-XRP,2023-06-26T00:00:00,2023-06-26T09:00:00,650.0,652.0,628.0,635.0,1687823994433,131041280889.18744,205266338.61948693,649.0,-14.0,-0.0215716487
12,KRW-XRP,2023-06-27T00:00:00,2023-06-27T09:00:00,635.0,641.0,631.0,639.0,1687910398699,98870221876.49702,155451423.94226706,635.0,4.0,0.0062992126
13,KRW-XRP,2023-06-28T00:00:00,2023-06-28T09:00:00,639.0,641.0,610.0,618.0,1687996799973,106988259019.92003,170410074.6310013,639.0,-21.0,-0.0328638498
14,KRW-XRP,2023-06-29T00:00:00,2023-06-29T09:00:00,618.0,637.0,614.0,632.0,1688083196829,87939555017.42178,140638690.87074044,618.0,14.0,0.0226537217
15,KRW-XRP,2023-06-30T00:00:00,2023-06-30T09:00:00,633.0,643.0,604.0,630.0,1688169598988,205348802926.57635,326094702.1374734,632.0,-2.0,-0.003164557
16,KRW-XRP,2023-07-01T00:00:00,2023-07-01T09:00:00,630.0,634.0,620.0,630.0,1688255996359,128099885974.19589,204314362.72613937,630.0,,0.0
17,KRW-XRP,2023-07-02T00:00:00,2023-07-02T09:00:00,630.0,661.0,625.0,643.0,1688342398721,283340210317.7051,439522128.23246485,630.0,13.0,0.0206349206
18,KRW-XRP,2023-07-03T00:00:00,2023-07-03T09:00:00,642.0,647.0,635.0,647.0,1688428796218,109239790041.32404,170527829.1844872,643.0,4.0,0.0062208398
19,KRW-XRP,2023-07-04T00:00:00,2023-07-04T09:00:00,646.0,650.0,636.0,643.0,1688515199731,83556829682.5033,129794975.7522664,647.0,-4.0,-0.0061823802
20,KRW-XRP,2023-07-05T00:00:00,2023-07-05T09:00:00,644.0,649.0,621.0,632.0,1688601598811,115463622365.47269,181889100.54911533,643.0,-11.0,-0.0171073095
21,KRW-XRP,2023-07-06T00:00:00,2023-07-06T09:00:00,633.0,638.0,616.0,617.0,1688687999317,108750039312.20576,173372344.0537048,632.0,-15.0,-0.0237341772
22,KRW-XRP,2023-07-07T00:00:00,2023-07-07T09:00:00,617.0,624.0,613.0,621.0,1688774396206,60049004226.79285,96916922.9321265,617.0,4.0,0.0064829822
23,KRW-XRP,2023-07-08T00:00:00,2023-07-08T09:00:00,620.0,629.0,617.0,623.0,1688860799064,40760690982.73067,65625818.25610847,621.0,2.0,0.0032206119
