,coin,buy_date,buy,sell_date,sell,profit,profit_rate
0,BTC,2021-01-02,35717850.0,2021-01-11,40073953.0,4356103.0,0.12195871252049045
1,BTC,2021-02-06,41745862.5,2021-02-24,56471750.0,14725887.5,0.35275082650406375
2,BTC,2021-03-13,70650307.5,2021-03-19,67940013.0,-2710294.5,-0.03836210479338678
3,BTC,2021-03-30,70835400.0,2021-04-11,78703628.5,7868228.5,0.11107763208791084
4,BTC,2021-07-26,43022500.5,2021-08-04,45695141.0,2672640.5,0.06212192385238045
5,BTC,2021-09-06,60869419.5,2021-10-02,58198886.0,-2670533.5,-0.04387315538634305
6,BTC,2021-10-06,67033500.0,2021-10-26,73256353.5,6222853.5,0.09283199445053593
7,BTC,2021-11-08,81443701.5,2021-11-16,73860051.5,-7583650.0,-0.09311524231250712
0,ETH,2021-01-03,1114056.75,2021-01-13,1251374.0,137317.25,0.1232587567913394
1,ETH,2021-02-02,1614807.0,2021-02-16,1982508.25,367701.25,0.22770600449465478
2,ETH,2021-03-31,2335167.0,2021-04-12,2793602.5,458435.5,0.19631807917806307
3,ETH,2021-05-01,3508753.5,2021-05-18,4202897.5,694144.0,0.19783207911299555
4,ETH,2021-07-30,2837418.0,2021-08-18,3553222.5,715804.5,0.25227319344559035
5,ETH,2021-08-31,4016007.0,2021-09-09,4130933.5,114926.5,0.028617106494087285
6,ETH,2021-10-20,5042520.0,2021-10-30,5128434.5,85914.5,0.01703800877339108
7,ETH,2021-11-03,5463730.5,2021-11-14,5606195.5,142465.0,0.0260746755353325
0,NEO,2021-01-06,21680.835,2021-01-23,27006.49,5325.6550000000025,0.24563883263721176
1,NEO,2021-02-08,28994.489999999998,2021-02-26,43968.005000000005,14973.515000000007,0.516426224430918
2,NEO,2021-03-17,54197.085,2021-04-24,96981.485,42784.4,0.7894225307505007
3,NEO,2021-07-30,47983.979999999996,2021-08-20,66106.93000000001,18122.95000000001,0.37768751154031016
4,NEO,2021-09-05,75287.625,2021-10-04,52373.8,-22913.824999999997,-0.3043504825660259
5,NEO,2021-11-08,60830.399999999994,2021-12-23,35892.045000000006,-24938.35499999999,-0.4099653298350823
0,MTL,2021-01-07,473.2365,2021-02-24,932.5335,459.297,0.9705443261455954
1,MTL,2021-02-27,1310.655,2021-03-08,1499.25,188.59500000000003,0.14389370200395987
2,MTL,2021-03-22,2056.0274999999997,2021-04-07,5737.13,3681.1025000000004,1.790395556479668
3,MTL,2021-07-31,2616.3075,2021-08-24,3313.3425,697.0350000000003,0.26641937157616236
4,MTL,2021-08-31,5702.849999999999,2021-09-08,4067.965,-1634.8849999999993,-0.2866785905292967
0,XRP,2021-01-30,479.23949999999996,2021-02-23,534.7325000000001,55.49300000000011,0.1157938775914759
1,XRP,2021-03-20,614.307,2021-04-19,1689.1550000000002,1074.8480000000002,1.74969192927966
2,XRP,2021-08-11,1165.5825,2021-08-23,1449.275,283.6925000000001,0.24339117994650752
3,XRP,2021-09-06,1600.8,2021-10-19,1334.3325,-266.4675,-0.1664589580209895
4,XRP,2021-11-03,1430.715,2021-11-18,1284.3575,-146.35749999999985,-0.10229675372104148
0,ETC,2021-01-03,7443.719999999999,2021-01-14,8505.745,1062.0250000000015,0.14267395871956515
1,ETC,2021-02-05,8974.484999999999,2021-02-23,12813.59,3839.1050000000014,0.42777997846115984
2,ETC,2021-03-13,15907.949999999999,2021-03-18,14262.865000000002,-1645.0849999999973,-0.10341275902929023
3,ETC,2021-03-30,15947.97,2021-04-22,39490.245,23542.275,1.476192581250153
4,ETC,2021-05-03,63731.85,2021-05-14,127886.02500000001,64154.17500000001,1.0066265925122213
5,ETC,2021-08-07,69524.745,2021-08-23,79290.335,9765.590000000011,0.14046207576885053
6,ETC,2021-09-05,84112.03499999999,2021-10-03,65147.41,-18964.624999999985,-0.22546862645755733
7,ETC,2021-10-21,67943.955,2021-11-01,64017.975000000006,-3925.979999999996,-0.05778262392879537
8,ETC,2021-11-09,73506.735,2021-11-18,60069.950000000004,-13436.784999999996,-0.1827966512184223
0,SNT,2021-01-06,62.93145,2021-01-18,62.968500000000006,0.0370500000000078,0.0005887358387580105
1,SNT,2021-02-06,68.53425,2021-02-23,89.85505,21.320800000000006,0.3110970062414049
2,SNT,2021-03-13,125.0625,2021-04-11,246.87650000000002,121.81400000000002,0.974024987506247
3,SNT,2021-04-14,342.171,2021-04-20,234.88250000000002,-107.28849999999997,-0.3135522881833936
4,SNT,2021-07-30,97.34864999999999,2021-08-21,114.94250000000001,17.593850000000018,0.18073029261320028
5,SNT,2021-09-04,132.066,2021-09-07,111.944,-20.122,-0.15236321233322733
6,SNT,2021-10-08,122.06099999999999,2021-11-17,113.94300000000001,-8.11799999999998,-0.06650772974168638
7,SNT,2021-11-29,134.06699999999998,2021-12-08,99.3503,-34.716699999999975,-0.25895037555848927
0,XEM,2021-02-01,290.145,2021-03-10,731.634,441.48900000000003,1.5216150545416949
1,XEM,2021-04-04,494.24699999999996,2021-04-20,464.76750000000004,-29.479499999999916,-0.05964527857528709
2,XEM,2021-08-11,226.113,2021-08-20,241.87900000000002,15.76600000000002,0.069726198847479
3,XEM,2021-09-05,279.1395,2021-09-15,223.888,-55.25149999999999,-0.1979350826378925
4,XEM,2021-10-31,226.113,2021-11-13,231.88400000000001,5.771000000000015,0.025522636911632746
0,QTUM,2021-01-06,3341.6699999999996,2021-01-22,3223.3875000000003,-118.28249999999935,-0.035396224043666595
1,QTUM,2021-02-06,4712.355,2021-02-22,7281.3575,2569.0025000000005,0.5451631933502464
2,QTUM,2021-03-23,8479.2375,2021-04-18,24897.545000000002,16418.307500000003,1.9362952741918131
3,QTUM,2021-05-06,30255.12,2021-05-17,21649.170000000002,-8605.949999999997,-0.2844460706154858
4,QTUM,2021-07-30,8309.1525,2021-08-23,16061.965,7752.8125,0.9330449164340165
5,QTUM,2021-09-05,18439.215,2021-10-03,16961.515,-1477.7000000000007,-0.0801389863939436
6,QTUM,2021-10-31,18759.375,2021-11-17,18540.725000000002,-218.64999999999782,-0.011655505580542945
0,STEEM,2021-01-08,215.1075,2021-01-23,201.899,-13.208499999999987,-0.061404181630115115
1,STEEM,2021-02-05,278.139,2021-02-24,421.78900000000004,143.65000000000003,0.5164683845127797
2,STEEM,2021-03-19,668.334,2021-04-08,1334.3325,665.9985,0.9965054897700851
3,STEEM,2021-05-08,1530.7649999999999,2021-06-07,603.698,-927.0669999999999,-0.6056233321247873
4,STEEM,2021-07-29,550.275,2021-08-19,640.6795000000001,90.4045000000001,0.1642896733451458
5,STEEM,2021-09-03,757.3784999999999,2021-09-09,745.6270000000001,-11.75149999999985,-0.015516020061303367
6,STEEM,2021-10-06,798.399,2021-10-16,716.6415000000001,-81.75749999999994,-0.10240180661548917
7,STEEM,2021-11-17,782.391,2021-12-04,624.6875,-157.70349999999996,-0.20156609674702286
0,XLM,2021-01-06,381.1905,2021-01-14,330.8345,-50.355999999999995,-0.13210192803860535
1,XLM,2021-02-06,401.2005,2021-02-22,527.736,126.53550000000001,0.3153921792221097
2,XLM,2021-04-01,526.2629999999999,2021-04-20,658.6705000000001,132.40750000000014,0.2515994854283888
3,XLM,2021-05-06,795.3974999999999,2021-06-03,492.75350000000003,-302.6439999999999,-0.3804940297147023
4,XLM,2021-08-10,356.178,2021-08-22,436.78150000000005,80.60350000000005,0.22630117525506924
5,XLM,2021-09-05,456.22799999999995,2021-09-07,403.798,-52.42999999999995,-0.11492060987050325
6,XLM,2021-10-06,432.21599999999995,2021-10-27,406.79650000000004,-25.419499999999914,-0.058812029170599696
7,XLM,2021-11-09,496.248,2021-11-18,405.797,-90.45099999999996,-0.1822697522206638
0,STORJ,2021-01-08,442.221,2021-01-24,454.77250000000004,12.551500000000033,0.02838286738983457
1,STORJ,2021-02-05,563.2814999999999,2021-02-23,629.6850000000001,66.40350000000012,0.11788688249125905
2,STORJ,2021-03-14,980.4899999999999,2021-04-07,3068.465,2087.9750000000004,2.129521973707025
3,STORJ,2021-07-08,1270.635,2021-07-13,1049.4750000000001,-221.15999999999985,-0.17405470493099895
4,STORJ,2021-08-28,1790.895,2021-09-08,1849.075,58.180000000000064,0.032486550021078885
5,STORJ,2021-10-10,1890.945,2021-10-16,1644.1775,-246.76749999999993,-0.13049956503229862
6,STORJ,2021-10-31,2406.2025,2021-12-03,2723.6375000000003,317.4350000000004,0.13192364316802116
0,GRS,2021-02-03,458.229,2021-02-23,584.7075,126.4785,0.27601592216991944
1,GRS,2021-03-19,929.4644999999999,2021-04-08,1339.3300000000002,409.8655000000002,0.44096950448349587
2,GRS,2021-04-09,3096.5474999999997,2021-05-13,1544.2275000000002,-1552.3199999999995,-0.5013066972168195
3,GRS,2021-07-31,944.472,2021-09-10,1199.4,254.9280000000001,0.2699158895128708
4,GRS,2021-10-08,1325.6625,2021-10-19,1169.415,-156.24749999999995,-0.11786370965460663
5,GRS,2021-11-27,1305.6525,2021-12-20,908.5455000000001,-397.10699999999986,-0.30414447948439566
0,ADA,2021-01-03,234.117,2021-01-15,336.8315,102.71450000000002,0.4387314889563766
1,ADA,2021-02-01,449.2245,2021-02-23,1084.4575,635.233,1.41406579560999
2,ADA,2021-02-26,1450.725,2021-03-24,1319.3400000000001,-131.38499999999976,-0.09056506229643783
3,ADA,2021-04-05,1680.84,2021-04-19,1539.23,-141.6099999999999,-0.08424954189571875
4,ADA,2021-05-06,2031.0149999999999,2021-05-21,2038.98,7.9650000000001455,0.003921684477958137
5,ADA,2021-08-03,1610.8049999999998,2021-09-01,3313.3425,1702.5375000000004,1.0569482339575558
0,SBD,2021-01-08,3541.77,2021-01-22,3398.3,-143.4699999999998,-0.040507994590275424
1,SBD,2021-02-05,3946.9725,2021-02-24,4497.75,550.7775000000001,0.13954429629291823
2,SBD,2021-02-26,10145.07,2021-03-18,7771.1125,-2373.9574999999995,-0.2340010960988933
3,SBD,2021-03-29,9169.582499999999,2021-04-09,13863.065,4693.482500000002,0.5118534567958795
4,SBD,2021-05-19,13216.605,2021-06-08,8960.5175,-4256.0875,-0.3220257774216601
5,SBD,2021-08-14,9564.779999999999,2021-08-19,8930.532500000001,-634.2474999999977,-0.06631072539044262
6,SBD,2021-08-24,9964.98,2021-09-08,8990.5025,-974.477499999999,-0.0977902113200427
7,SBD,2021-10-08,9864.93,2021-10-15,8540.7275,-1324.2024999999994,-0.13423333971959248
0,BTG,2021-01-07,11955.974999999999,2021-01-19,13843.075,1887.1000000000022,0.157837399291986
1,BTG,2021-02-08,14477.234999999999,2021-02-26,29985.0,15507.765000000001,1.0711827914653593
2,BTG,2021-03-13,41270.625,2021-03-18,35352.315,-5918.309999999998,-0.14340248057789282
3,BTG,2021-03-30,44282.13,2021-04-18,131034.45000000001,86752.32,1.959081914081369
4,BTG,2021-05-05,163381.65,2021-05-13,119540.20000000001,-43841.44999999998,-0.26833766215483795
5,BTG,2021-07-30,60320.145,2021-09-08,83038.46,22718.31500000001,0.376628985225417
6,BTG,2021-10-06,89724.84,2021-10-27,73363.3,-16361.539999999994,-0.18235240096276564
0,ICX,2021-01-03,552.276,2021-02-01,833.5830000000001,281.30700000000013,0.5093594507094281
1,ICX,2021-02-09,983.4915,2021-02-24,1904.0475000000001,920.5560000000002,0.9360080895462749
2,ICX,2021-07-08,1240.62,2021-07-24,947.5260000000001,-293.0939999999998,-0.23624800502974308
3,ICX,2021-07-30,1145.5725,2021-08-28,1649.1750000000002,503.6025000000002,0.439607707063499
4,ICX,2021-09-04,1920.9599999999998,2021-09-07,1669.1650000000002,-251.79499999999962,-0.13107769032150574
5,ICX,2021-09-10,2191.095,2021-09-20,2078.96,-112.13499999999976,-0.05117760754326023
6,ICX,2021-10-31,2761.3799999999997,2021-11-25,2478.76,-282.61999999999944,-0.10234737703611943
0,EOS,2021-01-06,3731.865,2021-01-14,3063.4675,-668.3974999999996,-0.17910548747074173
1,EOS,2021-01-31,3221.6099999999997,2021-02-23,4327.835,1106.2250000000004,0.343376448421752
